[2023-06-12 07:41:46] [info]  [ 5268] Apache Commons Daemon procrun (1.3.1.0 64-bit) started.
[2023-06-12 07:41:47] [info]  [ 5268] Running Service 'Tomcat9'...
[2023-06-12 07:41:47] [info]  [ 7184] Starting service...
[2023-06-12 07:41:50] [info]  [ 7184] Service started in 2837 milliseconds.
[2023-06-12 07:42:19] [info]  [12452] Console SHUTDOWN event signaled.
[2023-06-12 07:42:19] [info]  [12452] Stopping service...
[2023-06-12 07:42:20] [info]  [12452] Service stop thread completed.
[2023-06-12 07:42:20] [info]  [ 5268] Run service finished.
[2023-06-12 07:42:20] [info]  [ 5268] Apache Commons Daemon procrun finished.
[2023-06-12 09:06:35] [info]  [ 4864] Apache Commons Daemon procrun (1.3.1.0 64-bit) started.
[2023-06-12 09:06:35] [info]  [ 4864] Running Service 'Tomcat9'...
[2023-06-12 09:06:35] [info]  [ 6572] Starting service...
[2023-06-12 09:06:37] [info]  [ 6572] Service started in 1974 milliseconds.
[2023-06-14 23:14:02] [info]  [30316] Console SHUTDOWN event signaled.
[2023-06-14 23:14:02] [info]  [30316] Stopping service...
[2023-06-14 23:14:03] [info]  [30316] Service stop thread completed.
[2023-06-14 23:14:03] [info]  [ 4864] Run service finished.
[2023-06-14 23:14:03] [info]  [ 4864] Apache Commons Daemon procrun finished.
